text,label,lang,category,template_id,source
Your order is out for delivery and will arrive today. Track at https://www.amazon.in,0,en,delivery_legit,39,synthetic_seed_v1
"आपका कूरियर कस्टम में रुका है और इसमें प्रतिबंधित सामान है। 24 घंटे में रु 2,00,000 क्लीयरेंस भरें वरना कानूनी कार्रवाई होगी: http://sbi-verify.xyz/login",1,hi_dev,courier_parcel_scam,61,synthetic_seed_v1
Reminder: your electricity bill of Rs 750 is due on 5th. Pay via the official app https://netbanking.hdfcbank.com,0,en,bill_legit,42,synthetic_seed_v1
Badhai ho! Aap PhonePe lucky draw me Rs 999 jeet gaye hain. Abhi claim karein: https://hdfc-rewards.click/claim,1,hi_rom,lottery,12,synthetic_seed_v1
"Aapke khate XXXXX7766 me Rs 2,00,000 jama hue. Available balance update ho gaya. -Axis",0,hi_rom,txn_alert,29,synthetic_seed_v1
URGENT: Axis A/C XXXXX7766 blocked due to incomplete KYC. Update now to avoid permanent closure http://bit.ly/win-cash,1,en,kyc,1,synthetic_seed_v1
"Dear ग्राहक, your A/C XXXXX3917 is credited with Rs 2,00,000 on 27JUN. Avl Bal updated. -SBI",0,en,txn_alert,27,synthetic_seed_v1
PhonePe सपोर्ट से। आपका लेनदेन विफल हुआ है। इसे वापस करने के लिए OTP 482913 बताएं या https://hdfc-rewards.click/claim से ऐप इंस्टॉल करें। कॉल 18001234।,1,hi_dev,fake_customer_care,69,synthetic_seed_v1
HDFC सेल लाइव है! अगली खरीद पर 750 की छूट। अभी खरीदें https://www.icicibank.com,0,hi_dev,promo,38,synthetic_seed_v1
Priya Yes Bank account band ho jayega! Turant KYC update karo varna account block ho jayega: https://secure-bank-login.xyz,1,hi_rom,kyc,2,synthetic_seed_v1
உங்கள் கணக்கு XXXXX0571 இல் ரூ 499 வரவு வைக்கப்பட்டது. இருப்பு புதுப்பிக்கப்பட்டது. -SBI,0,ta,txn_alert,31,synthetic_seed_v1
जरूरी सूचना: आपका HDFC खाता XXXXX3917 केवाईसी अधूरी होने के कारण बंद किया जा रहा है। अभी सत्यापित करें http://bit.ly/win-cash,1,hi_dev,kyc,5,synthetic_seed_v1
991204 உங்கள் Yes Bank உள்நுழைவுக்கான OTP. யாருடனும் பகிர வேண்டாம். -Yes Bank,0,ta,otp_legit,117,synthetic_seed_v1
"Aapka courier customs me ruka hai, isme banned saman hai. 24 ghante me Rs 1,250 clearance bhare warna legal action hoga: http://icici-netbanking.online/auth",1,hi_rom,courier_parcel_scam,60,synthetic_seed_v1
"प्रिय उपभोक्ता, बिल अपडेट न होने के कारण आज रात आपकी बिजली काट दी जाएगी। तुरंत 08041234567 पर संपर्क करें https://hdfc-rewards.click/claim",1,hi_dev,electricity,23,synthetic_seed_v1
"உங்கள் கணக்கு XXXXX3917 இல் ரூ 9,999 வரவு வைக்கப்பட்டது. இருப்பு புதுப்பிக்கப்பட்டது. -HDFC",0,ta,txn_alert,116,synthetic_seed_v1
Aapke khate XXXXX0571 me Rs 499 jama hue. Available balance update ho gaya. -Kotak,0,hi_rom,txn_alert,29,synthetic_seed_v1
"आपको Rahul से UPI के माध्यम से रु 50,000 प्राप्त हुए हैं। -Kotak",0,hi_dev,upi_legit,89,synthetic_seed_v1
"यह Mumbai Police है। आपके खाते पर मनी लॉन्ड्रिंग का मामला दर्ज है। आप डिजिटल अरेस्ट में हैं, वीडियो कॉल न काटें और रु 9,999 वेरिफिकेशन खाते में भेजें: http://icici-netbanking.online/auth",1,hi_dev,digital_arrest,53,synthetic_seed_v1
"இது TRAI. உங்கள் பெயரில் பணமோசடி வழக்கு பதிவாகியுள்ளது. நீங்கள் டிஜிட்டல் கைது செய்யப்பட்டுள்ளீர்கள், வீடியோ அழைப்பை துண்டிக்காதீர்கள், ரூ 1,250 அனுப்பவும்: https://rbi-refund.gq/form",1,ta,digital_arrest,54,synthetic_seed_v1
"This is Mumbai Police. Your bank account is linked to a money-laundering case. You are under digital arrest. Stay on this video call and transfer Rs 9,999 to the verification account or be arrested: http://icici-netbanking.online/auth",1,en,digital_arrest,50,synthetic_seed_v1
"வாழ்த்துக்கள்! நீங்கள் HDFC லக்கி டிராவில் ரூ 1,00,000 வென்றுள்ளீர்கள். இப்போது claim செய்யவும்: http://icici-netbanking.online/auth",1,ta,lottery,14,synthetic_seed_v1
Yes Bank सुरक्षा: अपना खाता सत्यापित करने के लिए OTP 482913 तुरंत बताएं अन्यथा खाता निष्क्रिय हो जाएगा।,1,hi_dev,otp_scam,9,synthetic_seed_v1
"यह Customs Department है। आपके खाते पर मनी लॉन्ड्रिंग का मामला दर्ज है। आप डिजिटल अरेस्ट में हैं, वीडियो कॉल न काटें और रु 1,250 वेरिफिकेशन खाते में भेजें: https://kyc-update.top/now",1,hi_dev,digital_arrest,53,synthetic_seed_v1
"Ghar baithe Rs 9,999 roz kamayein! Seats limited hain. Choti si fees ke saath register karein: https://secure-bank-login.xyz",1,hi_rom,job_scam,25,synthetic_seed_v1
"Ghar baithe Rs 9,999 roz kamayein! Seats limited hain. Choti si fees ke saath register karein: http://bit.ly/win-cash",1,hi_rom,job_scam,25,synthetic_seed_v1
Aapka order delivery ke liye nikal gaya hai. Delivery agent ko OTP 991204 dein. Track: https://www.icicibank.com,0,hi_rom,ecommerce_legit,91,synthetic_seed_v1
"Hi, your appointment with Dr. Rahul is confirmed for Monday 11 AM at the clinic.",0,en,everyday_legit,96,synthetic_seed_v1
"हमारे VIP ग्रुप में जुड़ें, 200% रिटर्न पाएं! TradeMax में रु 499 जमा करें और 7 दिन में पैसा डबल: http://paytm-kyc.link/verify",1,hi_dev,investment_crypto,73,synthetic_seed_v1
"प्रिय उपभोक्ता, बिल अपडेट न होने के कारण आज रात आपकी बिजली काट दी जाएगी। तुरंत 18001234 पर संपर्क करें http://sbi-verify.xyz/login",1,hi_dev,electricity,23,synthetic_seed_v1
"आपका पार्सल कस्टम में रुका है। 24 घंटे में रु 50,000 शुल्क भरें अन्यथा वापस भेज दिया जाएगा: http://sbi-verify.xyz/login",1,hi_dev,delivery_scam,20,synthetic_seed_v1
"Your refund of Rs 1,250 is pending. Verify your bank details to receive it: https://rbi-refund.gq/form",1,en,refund,15,synthetic_seed_v1
Work from home and earn Rs 750 daily! Limited seats. Register now with a small fee: http://paytm-kyc.link/verify,1,en,job_scam,24,synthetic_seed_v1
"Hamare VIP group me judein, 200% return paayein! InstaPaisa me Rs 1,250 jama karein aur 7 din me paisa double: http://paytm-kyc.link/verify",1,hi_rom,investment_crypto,72,synthetic_seed_v1
"ரூ 9,999 மதிப்புள்ள உங்கள் Paytm வெகுமதி புள்ளிகள் இன்று காலாவதியாகின்றன. இப்போது மீட்டெடுக்கவும்: http://bit.ly/win-cash",1,ta,reward_points_expiry,78,synthetic_seed_v1
"எங்கள் VIP குழுவில் சேருங்கள், 200% லாபம்! CashBee இல் ரூ 750 டெபாசிட் செய்து 7 நாட்களில் பணத்தை இரட்டிப்பாக்குங்கள்: http://sbi-verify.xyz/login",1,ta,investment_crypto,74,synthetic_seed_v1
"Hi, your appointment with Dr. Meena is confirmed for Monday 11 AM at the clinic.",0,en,everyday_legit,96,synthetic_seed_v1
Your order is out for delivery. Share OTP 482913 with the delivery agent to receive it. Track: https://www.icicibank.com,0,en,ecommerce_legit,90,synthetic_seed_v1
"आपके HDFC रिवॉर्ड पॉइंट्स जिनकी कीमत रु 1,250 है आज समाप्त हो रहे हैं। अभी रिडीम करें: https://hdfc-rewards.click/claim",1,hi_dev,reward_points_expiry,77,synthetic_seed_v1
"உங்கள் ரூ 2,00,000 திரும்பப் பெற UPI கோரிக்கையை அங்கீகரித்து UPI பின்னை உள்ளிடவும்: https://kyc-update.top/now",1,ta,upi_collect_scam,66,synthetic_seed_v1
"Join our VIP group and earn 200% returns! Deposit Rs 2,00,000 in CashBee and double your money in 7 days: https://hdfc-rewards.click/claim",1,en,investment_crypto,71,synthetic_seed_v1
"உங்கள் ரூ 1,00,000 திரும்பப் பணம் நிலுவையில் உள்ளது. பெற வங்கி விவரங்களை சரிபார்க்கவும்: http://paytm-kyc.link/verify",1,ta,refund,115,synthetic_seed_v1
आपका ऑर्डर डिलीवरी के लिए निकल गया है। डिलीवरी एजेंट को OTP 482913 दें। ट्रैक करें: https://paytm.com,0,hi_dev,ecommerce_legit,92,synthetic_seed_v1
"प्रिय ग्राहक, आपके खाते XXXXX7766 में रु 1,250 जमा हुए। उपलब्ध शेष अपडेट किया गया। -Yes Bank",0,hi_dev,txn_alert,30,synthetic_seed_v1
"Main Army officer hoon, aapka OLX saman chahiye. Rs 750 QR se bhej raha hoon, receive karne ke liye scan karke approve karein: https://kyc-update.top/now",1,hi_rom,marketplace_qr_scam,84,synthetic_seed_v1
SBI சலுகை! இன்று எலெக்ட்ரானிக்ஸ் பொருட்களில் தள்ளுபடி. இப்போது வாங்குங்கள்: https://netbanking.hdfcbank.com,0,ta,promo,118,synthetic_seed_v1
"Paytm security alert: share the OTP 482913 sent to your phone to verify your account, else it will be deactivated.",1,en,otp_scam,7,synthetic_seed_v1
Aaj raat aapki bijli kaat di jayegi kyunki bill update nahi hua. Turant 18001234 par call karein https://secure-bank-login.xyz,1,hi_rom,electricity,22,synthetic_seed_v1
Congratulations Meena! You have WON Rs 750 in the Axis lucky draw. Claim now: https://rbi-refund.gq/form,1,en,lottery,11,synthetic_seed_v1
अपना रु 750 रिफंड पाने के लिए UPI रिक्वेस्ट अप्रूव करें और UPI पिन डालें: http://sbi-verify.xyz/login,1,hi_dev,upi_collect_scam,65,synthetic_seed_v1
991204 aapka HDFC login OTP hai. Ise kisi ke saath share na karein. -HDFC,0,hi_rom,otp_legit,33,synthetic_seed_v1
HDFC सपोर्ट से। आपका लेनदेन विफल हुआ है। इसे वापस करने के लिए OTP 338190 बताएं या https://hdfc-rewards.click/claim से ऐप इंस्टॉल करें। कॉल 18001234।,1,hi_dev,fake_customer_care,69,synthetic_seed_v1
"இது Narcotics Control Bureau. உங்கள் பெயரில் பணமோசடி வழக்கு பதிவாகியுள்ளது. நீங்கள் டிஜிட்டல் கைது செய்யப்பட்டுள்ளீர்கள், வீடியோ அழைப்பை துண்டிக்காதீர்கள், ரூ 9,999 அனுப்பவும்: https://kyc-update.top/now",1,ta,digital_arrest,54,synthetic_seed_v1
This is Narcotics Control Bureau. Your bank account is linked to a money-laundering case. You are under digital arrest. Stay on this video call and transfer Rs 750 to the verification account or be arrested: http://icici-netbanking.online/auth,1,en,digital_arrest,50,synthetic_seed_v1
"बधाई! आपका रु 1,00,000 का लोन बिना दस्तावेज़ के मंज़ूर हो गया। LoanKamao डाउनलोड करें और तुरंत पैसे पाएं: http://bit.ly/win-cash",1,hi_dev,instant_loan_app,57,synthetic_seed_v1
आपका ऑर्डर डिलीवरी के लिए निकल गया है। डिलीवरी एजेंट को OTP 338190 दें। ट्रैक करें: https://paytm.com,0,hi_dev,ecommerce_legit,92,synthetic_seed_v1
991204 is your OTP for ICICI login. Do NOT share it with anyone. -ICICI,0,en,otp_legit,32,synthetic_seed_v1
Your order is out for delivery. Share OTP 482913 with the delivery agent to receive it. Track: https://netbanking.hdfcbank.com,0,en,ecommerce_legit,90,synthetic_seed_v1
உங்கள் பார்சல் சுங்கத்தில் தடைசெய்யப்பட்ட பொருட்களுடன் நிறுத்தப்பட்டுள்ளது. 24 மணி நேரத்தில் ரூ 750 செலுத்தவும் இல்லையெனில் சட்ட நடவடிக்கை: http://paytm-kyc.link/verify,1,ta,courier_parcel_scam,62,synthetic_seed_v1
Reminder: your electricity bill of Rs 999 is due on 5th. Pay via the official app https://www.amazon.in,0,en,bill_legit,42,synthetic_seed_v1
"Yes Bank support here. We noticed a failed transaction. To reverse it, share the OTP 650017 or install our app from http://sbi-verify.xyz/login. Call 18001234.",1,en,fake_customer_care,67,synthetic_seed_v1
"எங்கள் VIP குழுவில் சேருங்கள், 200% லாபம்! LoanKamao இல் ரூ 50,000 டெபாசிட் செய்து 7 நாட்களில் பணத்தை இரட்டிப்பாக்குங்கள்: https://hdfc-rewards.click/claim",1,ta,investment_crypto,74,synthetic_seed_v1
"यह Narcotics Control Bureau है। आपके खाते पर मनी लॉन्ड्रिंग का मामला दर्ज है। आप डिजिटल अरेस्ट में हैं, वीडियो कॉल न काटें और रु 1,250 वेरिफिकेशन खाते में भेजें: https://rbi-refund.gq/form",1,hi_dev,digital_arrest,53,synthetic_seed_v1
Your parcel is held at customs. Pay Rs 499 clearance fee within 24 hours or it will be returned: http://paytm-kyc.link/verify,1,en,delivery_scam,18,synthetic_seed_v1
"Aapka Rs 9,999 ka refund pending hai. Paane ke liye bank details verify karein: https://hdfc-rewards.click/claim",1,hi_rom,refund,16,synthetic_seed_v1
Yes Bank ஆதரவு. உங்கள் பரிவர்த்தனை தோல்வியடைந்தது. மாற்ற OTP 991204 பகிரவும் அல்லது http://icici-netbanking.online/auth இல் இருந்து செயலியை நிறுவவும். 08041234567 ஐ அழைக்கவும்.,1,ta,fake_customer_care,70,synthetic_seed_v1
"Congratulations Rahul! You have WON Rs 50,000 in the Axis lucky draw. Claim now: http://icici-netbanking.online/auth",1,en,lottery,11,synthetic_seed_v1
"Kotak सेल लाइव है! अगली खरीद पर 1,250 की छूट। अभी खरीदें https://netbanking.hdfcbank.com",0,hi_dev,promo,38,synthetic_seed_v1
You have received Rs 499 from Arjun via UPI. -Paytm,0,en,upi_legit,87,synthetic_seed_v1
991204 is your OTP for DigiLocker login. Valid for 10 minutes. Do not share it. https://netbanking.hdfcbank.com,0,en,govt_service_legit,93,synthetic_seed_v1
650017 aapka ICICI login OTP hai. Ise kisi ke saath share na karein. -ICICI,0,hi_rom,otp_legit,33,synthetic_seed_v1
991204 உங்கள் Paytm உள்நுழைவுக்கான OTP. யாருடனும் பகிர வேண்டாம். -Paytm,0,ta,otp_legit,35,synthetic_seed_v1
जरूरी सूचना: आपका SBI खाता XXXXX8830 केवाईसी अधूरी होने के कारण बंद किया जा रहा है। अभी सत्यापित करें https://secure-bank-login.xyz,1,hi_dev,kyc,5,synthetic_seed_v1
आपका बिजली कनेक्शन आज रात कट जाएगा क्योंकि KYC लंबित है। अभी अपडेट करें या 9876543210 पर कॉल करें: https://hdfc-rewards.click/claim,1,hi_dev,utility_kyc,81,synthetic_seed_v1
"Axis support here. We noticed a failed transaction. To reverse it, share the OTP 650017 or install our app from https://secure-bank-login.xyz. Call 1800111.",1,en,fake_customer_care,67,synthetic_seed_v1
உங்கள் Paytm கணக்கு முடக்கப்படும்! உடனடியாக KYC புதுப்பிக்கவும் இல்லையெனில் கணக்கு நிரந்தரமாக மூடப்படும்: http://icici-netbanking.online/auth,1,ta,kyc,6,synthetic_seed_v1
"Dear ग्राहक, your Axis account is suspended. Complete KYC immediately or your account will be blocked: http://paytm-kyc.link/verify",1,en,kyc,0,synthetic_seed_v1
Your order is out for delivery. Share OTP 482913 with the delivery agent to receive it. Track: https://onlinesbi.sbi,0,en,ecommerce_legit,90,synthetic_seed_v1
Aapka Rs 499 ka refund pending hai. Paane ke liye bank details verify karein: http://sbi-verify.xyz/login,1,hi_rom,refund,16,synthetic_seed_v1
"Your refund of Rs 2,00,000 is pending. Verify your bank details to receive it: https://kyc-update.top/now",1,en,refund,15,synthetic_seed_v1
"வாழ்த்துக்கள்! நீங்கள் ICICI லக்கி டிராவில் ரூ 50,000 வென்றுள்ளீர்கள். இப்போது claim செய்யவும்: http://bit.ly/win-cash",1,ta,lottery,14,synthetic_seed_v1
"Axis பாதுகாப்பு எச்சரிக்கை: உங்கள் கணக்கை சரிபார்க்க OTP 482913 ஐ பகிரவும், இல்லையெனில் முடக்கப்படும்.",1,ta,otp_scam,10,synthetic_seed_v1
Join our VIP group and earn 200% returns! Deposit Rs 499 in CashBee and double your money in 7 days: https://hdfc-rewards.click/claim,1,en,investment_crypto,71,synthetic_seed_v1
"This is Cyber Crime Branch. Your bank account is linked to a money-laundering case. You are under digital arrest. Stay on this video call and transfer Rs 2,00,000 to the verification account or be arrested: https://kyc-update.top/now",1,en,digital_arrest,50,synthetic_seed_v1
"Reminder: your electricity bill of Rs 2,00,000 is due on 5th. Pay via the official app https://netbanking.hdfcbank.com",0,en,bill_legit,42,synthetic_seed_v1
338190 aapka DigiLocker login OTP hai. 10 minute valid. Kisi ko na batayein. https://www.icicibank.com,0,hi_rom,govt_service_legit,94,synthetic_seed_v1
"Paytm பாதுகாப்பு எச்சரிக்கை: உங்கள் கணக்கை சரிபார்க்க OTP 991204 ஐ பகிரவும், இல்லையெனில் முடக்கப்படும்.",1,ta,otp_scam,10,synthetic_seed_v1
Paytm support se. Aapka transaction fail hua hai. Reverse karne ke liye OTP 482913 batayein ya http://paytm-kyc.link/verify se app install karein. Call 1800111.,1,hi_rom,fake_customer_care,68,synthetic_seed_v1
आपका बिजली कनेक्शन आज रात कट जाएगा क्योंकि KYC लंबित है। अभी अपडेट करें या 08041234567 पर कॉल करें: https://hdfc-rewards.click/claim,1,hi_dev,utility_kyc,81,synthetic_seed_v1
உங்கள் ரூ 750 திரும்பப் பணம் நிலுவையில் உள்ளது. பெற வங்கி விவரங்களை சரிபார்க்கவும்: http://paytm-kyc.link/verify,1,ta,refund,115,synthetic_seed_v1
"Badhai! Aapka Rs 50,000 ka loan bina document ke approve ho gaya. LoanKamao download karein aur turant paisa payein: https://secure-bank-login.xyz",1,hi_rom,instant_loan_app,56,synthetic_seed_v1
आपका कूरियर कस्टम में रुका है और इसमें प्रतिबंधित सामान है। 24 घंटे में रु 750 क्लीयरेंस भरें वरना कानूनी कार्रवाई होगी: http://sbi-verify.xyz/login,1,hi_dev,courier_parcel_scam,61,synthetic_seed_v1
"Work from home and earn Rs 1,250 daily! Limited seats. Register now with a small fee: http://bit.ly/win-cash",1,en,job_scam,24,synthetic_seed_v1
"घर बैठे रोज रु 1,250 कमाएं! सीटें सीमित हैं। छोटी सी फीस देकर अभी रजिस्टर करें: https://secure-bank-login.xyz",1,hi_dev,job_scam,26,synthetic_seed_v1
"Badhai! Aapka Rs 1,00,000 ka loan bina document ke approve ho gaya. RupeeFast download karein aur turant paisa payein: https://kyc-update.top/now",1,hi_rom,instant_loan_app,56,synthetic_seed_v1
"ஹாய் customer, நாளை மதியம் ஒன்றாக சந்திக்கலாமா?",0,ta,chat,119,synthetic_seed_v1
जरूरी सूचना: आपका ICICI खाता XXXXX0571 केवाईसी अधूरी होने के कारण बंद किया जा रहा है। अभी सत्यापित करें https://kyc-update.top/now,1,hi_dev,kyc,5,synthetic_seed_v1
Paytm பாதுகாப்பு: உங்கள் கணக்கை சரிபார்க்க OTP 338190 ஐ உடனே பகிரவும் இல்லையெனில் முடக்கப்படும்.,1,ta,otp_scam,113,synthetic_seed_v1
"Aapka courier customs me ruka hai. 24 ghante me Rs 1,00,000 fees bharein warna wapas chala jayega: https://rbi-refund.gq/form",1,hi_rom,delivery_scam,19,synthetic_seed_v1
338190 आपका DigiLocker लॉगिन OTP है। 10 मिनट के लिए वैध। किसी को न बताएं। https://onlinesbi.sbi,0,hi_dev,govt_service_legit,95,synthetic_seed_v1
"Hamare VIP group me judein, 200% return paayein! InstaPaisa me Rs 9,999 jama karein aur 7 din me paisa double: https://rbi-refund.gq/form",1,hi_rom,investment_crypto,72,synthetic_seed_v1
PhonePe सुरक्षा: अपना खाता सत्यापित करने के लिए OTP 482913 तुरंत बताएं अन्यथा खाता निष्क्रिय हो जाएगा।,1,hi_dev,otp_scam,9,synthetic_seed_v1
"Paytm security alert: share the OTP 991204 sent to your phone to verify your account, else it will be deactivated.",1,en,otp_scam,7,synthetic_seed_v1
"Badhai! Aapka Rs 1,00,000 ka loan bina document ke approve ho gaya. CashBee download karein aur turant paisa payein: http://icici-netbanking.online/auth",1,hi_rom,instant_loan_app,56,synthetic_seed_v1
991204 आपका DigiLocker लॉगिन OTP है। 10 मिनट के लिए वैध। किसी को न बताएं। https://netbanking.hdfcbank.com,0,hi_dev,govt_service_legit,95,synthetic_seed_v1
Aapka SBI khata XXXXX0571 suspend kar diya gaya hai. Abhi KYC complete karein: http://sbi-verify.xyz/login,1,hi_rom,kyc,3,synthetic_seed_v1
"मैं आर्मी अफसर हूं, आपका OLX सामान चाहिए। रु 2,00,000 QR से भेज रहा हूं, पाने के लिए स्कैन करके अप्रूव करें: http://bit.ly/win-cash",1,hi_dev,marketplace_qr_scam,85,synthetic_seed_v1
"Badhai ho! Aap ICICI lucky draw me Rs 9,999 jeet gaye hain. Abhi claim karein: https://rbi-refund.gq/form",1,hi_rom,lottery,12,synthetic_seed_v1
705621 உங்கள் Axis உள்நுழைவுக்கான OTP. யாருடனும் பகிர வேண்டாம். -Axis,0,ta,otp_legit,117,synthetic_seed_v1
650017 आपके HDFC लॉगिन के लिए OTP है। इसे किसी के साथ साझा न करें। -HDFC,0,hi_dev,otp_legit,34,synthetic_seed_v1
"Paytm support here. We noticed a failed transaction. To reverse it, share the OTP 705621 or install our app from https://hdfc-rewards.click/claim. Call 08041234567.",1,en,fake_customer_care,67,synthetic_seed_v1
Customs Department notice: a parcel with illegal items was seized in your name. Call 18001234 immediately and do NOT disconnect. Pay Rs 999 for case clearance: http://bit.ly/win-cash,1,en,digital_arrest,51,synthetic_seed_v1
"Yes Bank security alert: share the OTP 338190 sent to your phone to verify your account, else it will be deactivated.",1,en,otp_scam,7,synthetic_seed_v1
"Your parcel is held at customs. Pay Rs 2,00,000 clearance fee within 24 hours or it will be returned: http://icici-netbanking.online/auth",1,en,delivery_scam,18,synthetic_seed_v1
PhonePe सुरक्षा: अपना खाता सत्यापित करने के लिए OTP 650017 तुरंत बताएं अन्यथा खाता निष्क्रिय हो जाएगा।,1,hi_dev,otp_scam,9,synthetic_seed_v1
Aapka courier customs me ruka hai. 24 ghante me Rs 750 fees bharein warna wapas chala jayega: http://sbi-verify.xyz/login,1,hi_rom,delivery_scam,19,synthetic_seed_v1
"ஹாய் Meena, நாளை மதியம் ஒன்றாக சந்திக்கலாமா?",0,ta,chat,119,synthetic_seed_v1
"To RECEIVE your refund of Rs 1,250, approve the UPI request and enter your UPI PIN now: http://sbi-verify.xyz/login",1,en,upi_collect_scam,63,synthetic_seed_v1
Your parcel is held at customs. Pay Rs 499 clearance fee within 24 hours or it will be returned: http://icici-netbanking.online/auth,1,en,delivery_scam,18,synthetic_seed_v1
"இது Narcotics Control Bureau. உங்கள் பெயரில் பணமோசடி வழக்கு பதிவாகியுள்ளது. நீங்கள் டிஜிட்டல் கைது செய்யப்பட்டுள்ளீர்கள், வீடியோ அழைப்பை துண்டிக்காதீர்கள், ரூ 1,250 அனுப்பவும்: https://hdfc-rewards.click/claim",1,ta,digital_arrest,54,synthetic_seed_v1
"உங்கள் ரூ 1,00,000 திரும்பப் பெற UPI கோரிக்கையை அங்கீகரித்து UPI பின்னை உள்ளிடவும்: http://sbi-verify.xyz/login",1,ta,upi_collect_scam,66,synthetic_seed_v1
Apna Rs 499 refund paane ke liye UPI request approve karein aur UPI PIN daalein: https://kyc-update.top/now,1,hi_rom,upi_collect_scam,64,synthetic_seed_v1
Aapka Axis khata XXXXX8830 suspend kar diya gaya hai. Abhi KYC complete karein: http://icici-netbanking.online/auth,1,hi_rom,kyc,3,synthetic_seed_v1
"Your parcel is held at customs. Pay Rs 1,250 clearance fee within 24 hours or it will be returned: http://icici-netbanking.online/auth",1,en,delivery_scam,18,synthetic_seed_v1
உங்கள் Paytm கணக்கு முடக்கப்படும்! உடனடியாக KYC புதுப்பிக்கவும் இல்லையெனில் கணக்கு நிரந்தரமாக மூடப்படும்: http://sbi-verify.xyz/login,1,ta,kyc,6,synthetic_seed_v1
SBI ஆதரவு. உங்கள் பரிவர்த்தனை தோல்வியடைந்தது. மாற்ற OTP 650017 பகிரவும் அல்லது https://secure-bank-login.xyz இல் இருந்து செயலியை நிறுவவும். 9876543210 ஐ அழைக்கவும்.,1,ta,fake_customer_care,70,synthetic_seed_v1
"Main Army officer hoon, aapka OLX saman chahiye. Rs 499 QR se bhej raha hoon, receive karne ke liye scan karke approve karein: http://sbi-verify.xyz/login",1,hi_rom,marketplace_qr_scam,84,synthetic_seed_v1
जरूरी सूचना: आपका Axis खाता XXXXX8830 केवाईसी अधूरी होने के कारण बंद किया जा रहा है। अभी सत्यापित करें https://rbi-refund.gq/form,1,hi_dev,kyc,5,synthetic_seed_v1
Aapke khate XXXXX8830 me Rs 750 jama hue. Available balance update ho gaya. -HDFC,0,hi_rom,txn_alert,29,synthetic_seed_v1
